good morning,早上好；早晨
pass the ball,传球 
pass the hat,募捐；筹款 
passages,n.,段落；通道
passenger cabin,n.,客舱
passenger seat,n.,乘客座位；副驾位
passenger ship,n.,客轮；客船
passionless,adj.,冷淡的；没激情的
passport photos,n.,护照照片；证件相
passport-size photograph,n.,护照尺寸照片；证件相
password,n.,密码
pasta,n.,意大利面
paste,n.,酱；糊状物；浆糊
paste,v.,粘贴
pastel,adj.,淡彩色的；柔和的
pastel,n.,粉彩；粉彩画
paster,n.,贴纸
pastime,n.,消遣；娱乐活动
patchwork,n.,拼布；拼凑物
patchy,adj.,零散的；不完整的
patently,adv.,明显地
paternal,adj.,父亲的；父系的
path based finder,基于路径的查找器 
path entry finder,路径入口查找器 
path entry hook,路径入口挂钩 
path entry,路径入口 
path-like object,类路径对象 
pathetic,adj.,可怜的；差劲的
pathology,n.,病理学；病状
pathway,n.,路径；途径
patience and endurance,耐心和耐力 
patience and special strategies,耐心和特殊策略 
patients,n.,病人（复数）
patriarch,n.,家长；元老
patriot,n.,爱国者
patriotic,adj.,爱国的
patrol,n.,巡逻；巡逻队
patrol,v.,巡逻
patron,n.,赞助人；顾客
patterns,n.,模式；图案（复数）
patterns,v.,模仿；以图案装饰
pavilion,n.,亭；馆
pawn,n.,典当；兵；卒
pawn,v.,典当；当掉
pay attention,注意；留心 
payable,adj.,应付的
paycheck,n.,薪水；工资单
payday,n.,发薪日
payroll,n.,工资单；在册员工
peanut,n.,花生
peanut butter,n.,花生酱
pebble,n.,鹅卵石；小石子
pebble,v.,用卵石铺
pedagogy,n.,教学法；教育学
pediatrician,n.,儿科医生
pedicab,n.,三轮车
pedigree,adj.,纯种的
pedigree,n.,血统；家谱
peep,n.,偷看；一瞥
peep,v.,偷看；窥视
peer group,n.,同辈群体
penalty area,禁区；罚球区 
penalty kick,点球 
penalty spot,罚球点 
pending,adj.,待定的；未决的
pendulum,n.,钟摆；摇摆的事物
penetrating,adj.,穿透的；有洞察力的
penetration,n.,渗透；穿透；洞察力
penguin,n.,企鹅
penicillin,n.,青霉素；盘尼西林
peninsula,n.,半岛
pens,n.,笔（复数）
pension system,n.,养老金制度
pensive,adj.,沉思的；忧郁的
pent-up,adj.,被压抑的
penthouse,n.,顶层豪华公寓
peony,n.,牡丹
pep,n.,精力；活力
per capita,adj.,人均的
per se,adv.,本身；本质上
perambulate,v.,漫步；巡行
perceptible,adj.,可察觉的
perceptive,adj.,感觉敏锐的；有洞察力的
perceptual,adj.,感知的；知觉的
percussion,n.,打击乐器
peremptory,adj.,专横的；不容置辩的
perennial,adj.,常年的；持续的
perennial,n.,多年生植物
perennially,adv.,常年地；不断地
perfectly,adv.,完美地；完全地
perfidy,n.,背信弃义
perfume bottles,n.,香水瓶
perfumes,n.,香水（复数）
perfumes,v.,使充满香气
perimeter,n.,周长；周边
periodical,adj.,定期的
periodical,n.,期刊
periodical publication,n.,定期刊物
periodical rack,n.,报刊架
periodically,adv.,定期地；周期性地
peripheral,adj.,外围的；次要的
peripheral,n.,外围设备；（电脑）外设
peripherally,adv.,次要地；外围地
periphery,n.,边缘；外围
perish,v.,（突然）死亡；毁灭；腐烂
perishable,adj.,易腐坏的
perishable,n.,易腐坏的东西
perjury,n.,伪证罪
perk,n.,额外福利；津贴
perk,v.,活跃起来；（耳朵）竖起
permafrost,n.,永久冻土
permanent worker,n.,合同工；长工
permanently online,永久在线 
permeate,v.,渗透；弥漫
permissibility,n.,可允许性
permissibly,adv.,在许可范围内地
permissiveness,n.,放任；纵容
perpetrate,v.,犯（罪）；做（坏事）
perpetuate,v.,使永久；使持续
perpetuation,n.,永存；持续
perplex,v.,使困惑
perquisite,n.,额外补贴；特权
persistently,adv.,持续地；坚持不懈地
personal,adj.,个人的；私人的
personal,n.,私人留言栏
personal alarm,个人警报器 
personal fitness,个人健身 
personal information,个人信息；个人资料 
personal interest,个人兴趣；个人利益 
personal luggage,个人行李 
personal possessions,个人财物 
personal relationship,人际关系；私人关系 
personal skills,个人技能 
personal trainer,私人教练 
personal value,个人价值观 
personalise,v.,使个性化；定制
personalize,v.,使个性化；定制
personals,n.,（报刊）交友广告栏
personnel department,n.,人事部
personnel management,n.,人事管理
perspire,v.,出汗；流汗
persuading,v.,说服（进行时）
persuasive skills,说服技巧 
pertain,v.,与…相关；关于
peruse,v.,细读；研读
pervade,v.,弥漫于；遍及
pervasive,adj.,普遍的；遍布的
perverse,adj.,执拗的；任性的
perversely,adv.,执拗地；任性地
pervert,n.,变态
pervert,v.,使堕落；滥用
pessimist,n.,悲观主义者
pesticides,n.,农药；杀虫剂
pet meat,n.,宠物食品
petition,n.,请愿书
petition,v.,请愿
petrol station,n.,加油站
petroleum,n.,石油
pets,n.,宠物（复数）
petty,adj.,琐碎的；小气的
pharmaceutical,adj.,制药的
pharmaceutical,n.,药品
pharmaceuticals,n.,药品；药物
pharmacist,n.,药剂师
pharmacy,n.,药店；药房
phenolic resin,n.,酚醛树脂
phenomenal,adj.,非凡的；了不起的
philanthropist,n.,慈善家
philology,n.,语言学
philosophers,n.,哲学家（复数）
philosophy of science,n.,科学哲学
phoenix,n.,凤凰
phone book,n.,电话簿
phone card,n.,电话卡
phone interviews,n.,电话面试
phone number,n.,电话号码
phone sb.,up,打电话给某人 
phone statistics,n.,电话统计
phone-in,n.,（电台）听众来电节目
phoneme,n.,音素
phonetics,n.,语音学
phosphorus,n.,磷
photo card,n.,相片卡
photo supplies,n.,摄影器材
photocopies,n.,复印件
photocopies,v.,复印（第三人称单数）
photocopy,n.,复印件
photocopy,v.,复印
photocopy shop,n.,复印店
photocopying,n.,复印
photocopying,v.,复印（进行时）
photoelectric,adj.,光电的
photoelectric cell,n.,光电管；光电池
photographic club,n.,摄影学会
photographs,n.,照片（复数）
photographs,v.,拍照（第三人称单数）
photojournalism,n.,新闻摄影
photometer,n.,测光表
photos,n.,照片（复数）
photos,v.,拍照（第三人称单数）
photosynthesis,n.,光合作用
photosynthetic,adj.,光合作用的
phrasal,adj.,短语的
physical exercise,n.,体育锻炼；运动
physical exercises,n.,体操；体育锻炼
physical fitness instructor,n.,健身教练
physical geography,n.,自然地理
physical health,n.,身体健康
physically,adv.,身体上
physiology,n.,生理学
piano player,n.,钢琴手；弹钢琴的人
pick fresh fruit,摘新鲜水果 
pick sb.'s brains,请教某人；套取信息 
pick up,v.,捡起；接（人）；学会
pick-pocket,n.,扒手
pickings,n.,轻易得来的好处；油水
pickle,n.,泡菜；腌菜
pickle,v.,腌制
pickle jar,n.,泡菜罐
pictograph,n.,象形文字；图表
pictorial,adj.,有插图的；绘画的
pictorial,n.,画报
pictorial form,n.,图画形式
picture books,n.,图画书；绘本
picture magazine,n.,画报；图片杂志
picture tube,n.,显像管
pictures,n.,图片；电影
pictures,v.,想象；描绘
picturesque,adj.,风景如画的
pie chart,n.,饼图
piecework,n.,计件工作
piercing,adj.,刺耳的；锐利的
piercing,n.,（身体）穿孔
pig,v.,像猪一样生活
pigment,n.,色素；颜料
pigment,v.,给…着色
pile up,堆积；积聚 
pillage,n.,掠夺
pillage,v.,掠夺；抢劫
pillar,n.,柱子；支柱
pillar,v.,用柱子支撑
pillbox,n.,药盒；碉堡
pillow,n.,枕头
pillow,v.,枕着
pilots,n.,飞行员（复数）
pilots,v.,驾驶（飞机）；领航
pimple,n.,青春痘；粉刺
pin sth.,down,确定；明确 
pine forests,松林 
pineal,adj.,松果体的
pineal,n.,松果体
pineapple,adj.,菠萝的
pineapple,n.,菠萝；凤梨
pinpoint,adj.,精确的
pinpoint,n.,精确位置
pinpoint,v.,精准定位；准确指出
pinprick,n.,小烦恼
pip,n.,果核
pip,v.,（小鸡）破壳而出
piracy,n.,盗版；剽窃；海盗行为
pirated edition,盗版 
pirates,n.,海盗（复数）；盗版者
pistol,n.,手枪
pitched,adj.,倾斜的
pivot,adj.,关键的；枢轴的
pivot,n.,枢轴；中心点；关键
pivot,v.,旋转；以…为中心
placement test,n.,分班考试
places,n.,地方（复数）
places,v.,放置（第三人称单数）
places for recreation,娱乐场所 
places of historical interest,名胜古迹 
places of interest,n.,景点；名胜
placid,adj.,平静的；温和的
plagiarise,v.,抄袭；剽窃
plagiarism,n.,抄袭；剽窃
plaintive,adj.,哀伤的
plan ahead,提前计划 
planet science,行星科学 
planned housing estate,规划住宅区 
planting,n.,种植
plants,n.,植物（复数）；工厂（复数）
plastic bag,n.,塑料袋；胶袋
plastics,n.,塑料
plateau,n.,高原；稳定期
plateau lake,高原湖泊 
plateholder,n.,（照相）底片夹
platelet,n.,血小板
plates,n.,盘子（复数）
platform ticket,n.,站台票
platforms,n.,平台（复数）；月台（复数）
platitude,n.,陈词滥调
plausibility,n.,貌似合理；可信度
plausibly,adv.,貌似有理地
play area,游乐区 
play games,玩游戏 
play marbles,玩弹珠 
play notice,播放通知 
play on a swing,荡秋千 
play online games,玩网游 
play tag,玩捉人游戏 
play the flute,吹笛子 
play the piano,弹钢琴 
play truant,逃学 
play water polo,打水球 
play with dibs,玩石子游戏 
play with doll's house,玩娃娃屋 
play with magic cubes,玩魔方 
play with plasticene,玩橡皮泥 
play with toys,玩玩具 
playful,adj.,爱玩的；开玩笑的
playfulness,n.,爱玩；嬉闹
playing card,n.,扑克牌
playmate,n.,玩伴
playroom,n.,游戏室
playwright,n.,剧作家
plaza,n.,广场；购物中心
pleasant surprise,惊喜 
pleased,adj.,高兴的；满意的
pleasurable,adj.,令人愉快的
pleasure boat,n.,游船
pleasure-house,n.,娱乐场所
plenty of,大量的；充足的 
pliable,adj.,易弯曲的；易受影响的
pliers,n.,钳子
plight,n.,困境
plight,v.,保证；约定
pluck,n.,勇气；胆量
pluck,v.,拔；扯；弹（弦）
plug in,插上电源 
plum,adj.,令人垂涎的；上等的
plum,n.,李子；梅子
plum blossom,n.,梅花
plumb,adj.,垂直的
plumb,adv.,垂直地；完全地
plumb,n.,铅锤
plumb,v.,探测；探索
plumber,n.,水管工
plume,n.,（大而华丽的）羽毛
plume,v.,（鸟）整理羽毛；得意
plume,v.,用羽毛装饰
plummet,n.,铅锤
plummet,v.,暴跌；骤降
plural,adj.,复数的
plural,n.,复数
plush,adj.,豪华的；长毛绒的
plush,n.,长毛绒
plyometrics,增强式训练 
pneumonia,n.,肺炎
poached egg,n.,水波蛋
pocket edition,n.,袖珍版
pocket watch,n.,怀表
pockets,n.,口袋（复数）
point-of-purchase media,销售点媒体 
pointed,adj.,尖的；尖锐的；直截了当的
pointed,v.,指向（过去式）
pointer,n.,指针；提示
poised,adj.,泰然自若的；保持平衡的
poisoning,n.,中毒
police officer,n.,警官；警察
policies,n.,政策（复数）；保险单（复数）
policy-holder,n.,投保人
poliomyelitis,n.,小儿麻痹症
political campaign,政治运动；竞选活动 
political science,n.,政治学
politicize,v.,使政治化
pollen,n.,花粉
pollen,v.,给…授粉
pollinate,v.,给…授粉
pollute water,污染水源 
polluter,n.,污染者；污染源
pollution control u,n.,污染控制
polo player,n.,马球运动员
polycup,n.,塑料杯
polymorphic,adj.,多态的；多形的
polystyrene,n.,聚苯乙烯
polytechnic,adj.,理工的
polytechnic,n.,理工学院
pomelo,n.,柚子
pommelled horse,n.,鞍马
poolroom,n.,台球室
poor area,n.,贫困地区
pop group,n.,流行乐队
pop music,n.,流行音乐
pop song,n.,流行歌曲
portability,n.,便携性；可移植性
portable recorder u,n.,便携式录音机
portrait,n.,肖像；画像
portrayal,n.,描绘；扮演
positional argument,位置参数 
positional-only,仅限位置 
positional-or-keyword,位置或关键字 
positive attitude,积极的态度 
positive ideas,积极的想法 
positive mental attitude,积极心态 
positive role,积极作用 
possess a car,拥有一辆车 
possessive,adj.,占有欲强的；所有格的
possessive,n.,所有格
possessor,n.,拥有者
post code,n.,邮政编码
post design,n.,邮政设计
post office,n.,邮局
post survey,n.,事后调查
post-industrial,adj.,后工业化的
post-mortem,adj.,死后的
post-mortem,adv.,死后地
post-mortem,n.,验尸；事后分析
post-sale service,售后服务 
postal,adj.,邮政的
postal,n.,明信片
postbox,n.,邮箱；邮筒
postcode,n.,邮政编码
postconditions,n.,后置条件
postdoctoral,adj.,博士后的
posterior,adj.,后面的
posterior,n.,臀部
postgraduate,adj.,研究生的
postgraduate,n.,研究生
posthumous,adj.,死后的
postmark,n.,邮戳
postmark,v.,盖邮戳
postscript,n.,附言；又及
postulate,n.,假定；基本前提
postulate,v.,假定
posture,n.,姿势；姿态
posture,v.,摆姿势
pot plant,n.,盆栽
potatoes,n.,土豆（复数）
potent,adj.,强有力的；有效的
potential customers,n.,潜在客户
potentially,adv.,潜在地；可能地
pots,n.,锅（复数）；壶（复数）
pottery,n.,陶器；陶瓷
poultry,n.,家禽
pounds,n.,磅（复数）；英镑（复数）
pounds,v.,猛击（第三人称单数）
powder puff,n.,粉扑
power company,n.,电力公司
power cord,n.,电源线
power switch,n.,电源开关
power-based,adj.,基于权力的
powerpoint,n.,幻灯片演示；PPT
practicable,adj.,可行的；行得通的
practical course,n.,实践课
practical ideas,n.,实用的想法
practical skill,n.,实用技能
practical skills,n.,实用技能
practical work,n.,实践工作
practically,adv.,几乎；实际上
practices,n.,做法；惯例；练习
practices,v.,练习（第三人称单数）
practitioner,n.,从业者；执业者
pragmatic,adj.,务实的；实用的
prawn,n.,大虾；对虾
prawn,v.,捕虾
pray,v.,祈祷；祈求
prayer,n.,祈祷；祷告
pre-booking,n.,预订
precarious,adj.,不稳定的；危险的
precede,v.,在…之前；先于
precedence,n.,优先；优先权
precedent,adj.,在先的
precedent,n.,先例
preceding,adj.,在前的；前面的
preceding,v.,在…之前（进行时）
precious resource,n.,宝贵资源
precipitate,adj.,仓促的；突然的
precipitate,n.,沉淀物
precipitate,v.,促成；使沉淀
precipitation,n.,降水；降水量
precipitous,adj.,陡峭的；急剧的
preclude,v.,排除；阻止
precognition,n.,预知
preconditions,n.,前提条件；先决条件
predation,n.,捕食
predator,n.,捕食者
predators,n.,捕食者（复数）
predatory,adj.,捕食性的
predicate,adj.,谓语的
predicate,n.,谓语
predicate,v.,断言；基于
predictability,n.,可预测性
predicting,v.,预测（进行时）
predispose,v.,使倾向于
predominance,n.,优势；主导地位
predominantly,adv.,主要地
predominate,v.,占主导地位
prefabricate,v.,预制
preferably,adv.,最好是；更可取地
prefix,n.,前缀
prefix,v.,加前缀
prefrontal,adj.,前额的
premature,adj.,过早的；不成熟的；早产的
premature,n.,早产儿
premiere,adj.,首次的
premiere,n.,首映；首次公演
premiere,v.,首次公演；首映
preoccupation,n.,全神贯注；主要想的事情
prepay,v.,预付
preposition,n.,介词
prerequisite,adj.,必备的
prerequisite,n.,先决条件；前提
prerogative,adj.,有特权的
prerogative,n.,特权
preschool,n.,幼儿园；学前班
prescient,adj.,有预知能力的
presentations,n.,演讲（复数）；报告（复数）
preserved,adj.,保存完好的；腌制的
preserver,n.,保护者
preset,v.,预设
press agency,n.,通讯社
press association,n.,新闻协会
press baron,n.,报业大王
press commentary,新闻评论 
press conference,n.,记者招待会；新闻发布会
press coverage,新闻报道 
press digest,新闻摘要 
pressed,adj.,紧迫的；受压的
pressed,v.,按（过去式）
prestige,n.,声望；威信
prestigious,adj.,有声望的；名牌的
presumably,adv.,大概；据推测
presumption,n.,推测；假定
presuppose,v.,预先假定
pretender,n.,冒充者；王位觊觎者
pretension,n.,炫耀；自命不凡
prevalence,n.,流行；普遍
preventable,adj.,可预防的
preventative,adj.,预防性的
preview,n.,预告；预习；预览
preview,v.,预习；预览
previously,adv.,以前；之前
price volatility,n.,价格波动
prickly,adj.,多刺的；易怒的
primal,adj.,原始的；最初的
primary school,小学 
primate,n.,灵长类动物
primeval,adj.,原始的；远古的
